"crop_number","crop_name","Category","whc_min_frac","Comments"
"1.4","Sugarbeet","Annual (Hardy)","0.45","Deep taproot; can tolerate moderate stress before harvest."
"3.48","Sugarcane","Non-woody Perennial","0.4","High biomass requires steady water but has established root depth."
"1.41","Sunflower","Annual (Hardy)","0.45","Deep taproot; very effective at mining subsoil moisture."
"1.42","Sweet Potatoes","Annual (Hardy)","0.45","Deeper and more resilient root system than Irish potatoes."
"1.43","Tomato","Annual (Sensitive)","0.6","Fresh market types require high WHC for fruit quality/sizing."
"2.03","Turfgrass (cool-season)","Non-woody Perennial","0.4","Fibrous mat; 0.4 prevents dormancy/browning in CA heat."
"2.04","Turfgrass (warm-season)","Non-woody Perennial","0.4","Fibrous mat; 0.4 prevents dormancy/browning in CA heat."
"1.44","Vegetables","Annual (Sensitive)","0.6","General category for high-turnover, shallow-rooted garden crops."
"3.08","Walnuts","Woody Perennial","0.35","Large trees with deep roots but highly sensitive to late-season stress."
"1.46","Watermelon","Annual (Hardy)","0.45","Deep roots; can handle more depletion than other melons."
"1.45","Wheat","Annual (Hardy)","0.45","Standard grain scavenging profile."
"1.33","Rice","Rice","1.0","WHC logic should be bypassed for this crop."
